Gene_name,Ensmbl,Hevin_logFC,Hevin_logCPM,Hevin_F,Hevin_PValue,Hevin_adjP,LPS_logFC,LPS_logCPM,LPS_F,LPS_PValue,LPS_adjP
Accs,ENSMUSG00000040272,0.826248667,0.872687005,10.05679117,0.007775387,0.067634704,-0.350005795,0.872687005,1.687741351,0.217578136,0.391814765
Acd,ENSMUSG00000038000,-0.174025912,4.71844747,3.999356895,0.067954671,0.269391733,-0.248093803,4.71844747,8.053430819,0.01456559,0.053108887
Ace,ENSMUSG00000020681,-0.006552158,3.343180936,0.000242742,0.987817663,0.995761292,-0.001968876,3.343180936,2.30E-05,0.996246241,0.997962014
Ace2,ENSMUSG00000015405,-1.100743487,0.187882865,2.71890324,0.124298562,0.382679268,-0.157347912,0.187882865,0.059268624,0.811643886,0.897410963
Acer2,ENSMUSG00000038007,-0.259343743,3.315245004,1.873527291,0.195401077,0.495689724,0.448101,3.315245004,5.615814803,0.034833486,0.103645123
Acer3,ENSMUSG00000030760,-0.179477842,5.197180935,1.576939755,0.232390264,0.542492668,-0.145104526,5.197180935,1.025119438,0.330691716,0.519342072
Ache,ENSMUSG00000023328,0.683170526,-0.71962725,1.104050744,0.313461793,0.626449687,-0.726657805,-0.71962725,1.089080941,0.316629653,0.503511788
Acin1,ENSMUSG00000022185,-0.047276217,8.118810126,0.275883893,0.608692596,0.838234895,0.18664981,8.118810126,4.29291627,0.059783566,0.154837679
Ackr1,ENSMUSG00000037872,-0.828188822,-0.253948625,1.695771979,0.216553478,0.524205781,1.205744688,-0.253948625,3.98532869,0.068377774,0.170926803
Ackr2,ENSMUSG00000044534,1.815027165,-0.037304151,6.434730136,0.025584662,0.146582574,-0.159967315,-0.037304151,0.04209831,0.840768185,0.913859334
Ackr3,ENSMUSG00000044337,0.076396139,1.902083083,0.04812001,0.829943451,0.933434885,0.133270629,1.902083083,0.144689677,0.710110184,0.831360593
Acly,ENSMUSG00000020917,-0.048346735,7.400760354,0.365404533,0.556438987,0.809279787,-0.068847949,7.400760354,0.739369782,0.406209788,0.59268478
Aco1,ENSMUSG00000028405,-0.126947023,5.951937772,2.113385565,0.170898349,0.460361782,-0.155371442,5.951937772,3.148671679,0.100568838,0.225791982
Aco2,ENSMUSG00000022477,-0.025757466,5.490165838,0.080511767,0.78129572,0.915014583,-0.118507993,5.490165838,1.692223176,0.217005501,0.391061717
Acot1,ENSMUSG00000072949,0.226339269,3.337516155,0.615469047,0.447491365,0.7352008,-1.085029213,3.337516155,13.07640409,0.003375503,0.017313296
Acot10,ENSMUSG00000047565,-0.32842094,6.517699773,13.99156606,0.002678393,0.03192337,0.552226517,6.517699773,39.54852601,3.49E-05,0.000539973
Acot11,ENSMUSG00000034853,-0.18046532,1.923722541,0.450984347,0.514206894,0.780814792,-1.318605035,1.923722541,21.84588728,0.000495435,0.003986785
Acot13,ENSMUSG00000006717,0.116107089,3.385058028,0.555842041,0.469862666,0.751397883,-0.123351518,3.385058028,0.615389859,0.447519892,0.631073863
Acot2,ENSMUSG00000021226,-0.250629498,3.585926859,0.968021321,0.344016473,0.65327914,-1.693605679,3.585926859,39.89352554,3.35E-05,0.000524542
Acot4,ENSMUSG00000052392,0.560517379,-0.751658968,0.702716042,0.4177674,0.714419744,-1.0895097,-0.751658968,2.110341234,0.171183902,0.331222088
Acot6,ENSMUSG00000043487,-0.015355667,-0.97634565,0.000258935,0.987417908,0.995676036,-0.327342739,-0.97634565,0.109944942,0.745753863,0.855638309
Acot7,ENSMUSG00000028937,-0.581169093,3.916195857,15.26087495,0.001970903,0.025611167,0.27189359,3.916195857,3.39501362,0.089466771,0.207023603
Acot8,ENSMUSG00000017307,-0.172601665,2.956764222,1.732534145,0.211942718,0.517611533,-0.35647139,2.956764222,7.230476554,0.019258574,0.065521508
Acot9,ENSMUSG00000025287,-0.475909499,3.618675291,8.374037727,0.013111377,0.09485201,0.486509218,3.618675291,8.871620978,0.011178373,0.043507689
Acox1,ENSMUSG00000020777,-0.078610342,7.218012906,1.066611422,0.32147058,0.633315771,-0.238313604,7.218012906,9.759899665,0.008497645,0.035213526
Acox2,ENSMUSG00000021751,0.522783434,-0.678276423,0.310850554,0.587100811,0.825871423,-0.809207495,-0.678276423,0.696942421,0.419635211,0.605589083
Acox3,ENSMUSG00000029098,0.650241321,4.649139643,38.35440185,4.04E-05,0.001539227,-0.548631034,4.649139643,26.58659869,0.000216018,0.002164797
Acoxl,ENSMUSG00000027380,-0.385256821,-0.48732789,0.400049466,0.538572927,0.796682495,1.289121525,-0.48732789,4.748367499,0.049317739,0.134490553
Acp1,ENSMUSG00000044573,0.279954627,3.405554846,4.327495013,0.058900977,0.246114687,-0.222504277,3.405554846,2.674248536,0.127143576,0.267282743
Acp2,ENSMUSG00000002103,0.480499499,5.883778901,18.96706938,0.000872048,0.014312024,0.165405783,5.883778901,2.237117361,0.1597876,0.315472359
Acp5,ENSMUSG00000001348,0.2199222,4.893610181,2.209589876,0.162178336,0.447372116,1.044013921,4.893610181,49.1628851,1.20E-05,0.000243883
Acp6,ENSMUSG00000028093,0.402410204,2.623981209,4.381532163,0.057552859,0.242938093,-0.99402802,2.623981209,24.745621,0.000294259,0.002730452
Acpp,ENSMUSG00000032561,0.610545632,1.062734327,0.461212856,0.509558286,0.777409196,0.699197931,1.062734327,0.566664723,0.46566422,0.646787986
Acrbp,ENSMUSG00000072770,0.091915434,2.563699081,0.247467339,0.627583776,0.848166106,-0.392022661,2.563699081,4.354806217,0.058214933,0.152303587
Acsbg1,ENSMUSG00000032281,2.148650689,1.398594975,52.06144152,8.95E-06,0.000517794,0.345339463,1.398594975,1.291785164,0.277245985,0.46173793
Acsf2,ENSMUSG00000076435,-0.004622775,1.899728213,0.000576608,0.981225305,0.993039892,-0.822372369,1.899728213,16.7572479,0.001399224,0.008739741
Acsf3,ENSMUSG00000015016,-0.039253622,1.48535728,0.020229408,0.88918726,0.959910672,-0.797260981,1.48535728,7.852343114,0.015574592,0.055904751
Acsl1,ENSMUSG00000018796,-0.030135921,5.10773344,0.024228052,0.878815837,0.957275013,0.182442619,5.10773344,0.885426116,0.364722723,0.55244095
Acsl3,ENSMUSG00000032883,-0.159058764,3.932913713,0.293610114,0.597536078,0.832497088,-0.01369259,3.932913713,0.002163826,0.963640368,0.986156281
